                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     70,                0.65478,                 0.3742,                 1.0001,                 0.9997,                      1,                  0.995,                0.80553,                0.66105,                0.32803,                0.96763,              0.0006338,              0.0006338,              0.0006338
                     71,                0.64711,                0.38017,                 1.0049,                0.99972,                      1,                  0.995,                0.80975,                0.65077,                0.31376,                0.97814,               0.000614,               0.000614,               0.000614
                     72,                0.66016,                  0.376,                0.99397,                0.99974,                      1,                  0.995,                 0.8301,                0.65309,                0.30969,                 0.9745,              0.0005942,              0.0005942,              0.0005942
                     73,                0.64073,                 0.3627,                0.96907,                0.99966,                      1,                  0.995,                0.84125,                 0.6313,                0.29789,                0.95725,              0.0005744,              0.0005744,              0.0005744
                     74,                 0.5998,                0.34696,                0.98397,                 0.9996,                      1,                  0.995,                0.82133,                0.65205,                0.30822,                0.96242,              0.0005546,              0.0005546,              0.0005546
                     75,                0.63699,                0.36233,                0.97068,                 0.9994,                      1,                  0.995,                0.83302,                0.63578,                0.29843,                0.96877,              0.0005348,              0.0005348,              0.0005348
                     76,                0.60183,                0.35023,                0.98502,                0.99967,                      1,                  0.995,                 0.8437,                0.63895,                 0.2984,                0.97288,               0.000515,               0.000515,               0.000515
                     77,                   0.63,                0.35833,                0.99271,                0.99967,                      1,                  0.995,                0.84164,                0.64356,                0.29192,                0.96153,              0.0004952,              0.0004952,              0.0004952
                     78,                0.63611,                 0.3468,                0.98084,                0.99967,                      1,                  0.995,                 0.8544,                0.62476,                0.29111,                0.96014,              0.0004754,              0.0004754,              0.0004754
                     79,                0.63143,                0.35812,                0.97222,                0.99949,                      1,                  0.995,                0.85653,                0.62781,                0.28528,                0.95805,              0.0004556,              0.0004556,              0.0004556
                     80,                0.60774,                0.35181,                0.98319,                      1,                0.99918,                  0.995,                0.84465,                0.63104,                0.29475,                0.96443,              0.0004358,              0.0004358,              0.0004358
                     81,                0.59112,                 0.3463,                0.97589,                 0.9997,                      1,                  0.995,                0.86349,                0.62328,                0.28656,                0.95574,               0.000416,               0.000416,               0.000416
                     82,                0.60823,                0.35654,                0.98209,                0.99966,                      1,                  0.995,                 0.8506,                0.64471,                0.29173,                0.96249,              0.0003962,              0.0003962,              0.0003962
                     83,                0.60015,                0.34722,                0.96992,                0.99961,                      1,                  0.995,                0.85088,                0.63003,                  0.284,                0.95998,              0.0003764,              0.0003764,              0.0003764
                     84,                0.59885,                0.33694,                0.97664,                0.99965,                      1,                  0.995,                0.85287,                0.62996,                0.28568,                0.95747,              0.0003566,              0.0003566,              0.0003566
                     85,                0.57769,                0.33073,                0.97961,                0.99964,                      1,                  0.995,                0.85542,                0.63706,                0.28096,                0.96046,              0.0003368,              0.0003368,              0.0003368
                     86,                0.55741,                0.33174,                 0.9804,                0.99964,                      1,                  0.995,                0.85182,                0.62497,                0.27945,                0.95937,               0.000317,               0.000317,               0.000317
                     87,                0.57278,                0.33536,                0.98042,                0.99966,                      1,                  0.995,                0.85437,                0.63092,                0.27454,                0.96166,              0.0002972,              0.0002972,              0.0002972
                     88,                0.59048,                0.33301,                0.95409,                0.99966,                      1,                  0.995,                0.84873,                0.62586,                0.27731,                0.96301,              0.0002774,              0.0002774,              0.0002774
                     89,                0.57918,                0.32845,                0.96081,                0.99968,                      1,                  0.995,                0.84581,                0.62224,                0.27392,                 0.9589,              0.0002576,              0.0002576,              0.0002576
                     90,                0.59567,                0.33522,                0.98126,                0.99965,                      1,                  0.995,                0.85732,                0.61019,                0.26852,                0.95718,              0.0002378,              0.0002378,              0.0002378
